6;FACT-001188;13;30.00;0.00;0.00;0.00;0.00;27.30;819.00;
7;FACT-001188;15;10.00;0.00;0.00;0.00;0.00;23.63;236.30;
8;FACT-001188;14;20.00;0.00;0.00;0.00;0.00;21.00;420.00;
9;FACT-001188;5;20.00;0.00;0.00;0.00;0.00;47.25;945.00;
10;FACT-001188;4;20.00;0.00;0.00;0.00;0.00;52.50;1050.00;
11;FACT-001188;12;40.00;0.00;0.00;0.00;0.00;6.83;273.20;
12;FACT-001188;3;20.00;0.00;0.00;0.00;0.00;22.05;441.00;
1;FACT-001189;2;60.00;0.00;0.00;0.00;0.00;19.16;1149.60;
2;FACT-001189;15;100.00;0.00;0.00;0.00;0.00;23.63;2363.00;
3;FACT-001189;14;60.00;0.00;0.00;0.00;0.00;21.00;1260.00;
4;FACT-001189;12;200.00;0.00;0.00;0.00;0.00;6.83;1366.00;
1;FACT-001190;2;1280.00;0.00;0.00;0.00;0.00;19.16;24524.80;
1;FACT-001191;2;1280.00;0.00;0.00;0.00;0.00;19.16;24524.80;
1;ND-000062;17;1.00;0.00;0.00;16.00;35.36;256.36;256.36;FACT-001169
1;ND-000063;17;1.00;0.00;0.00;0.00;0.00;221.00;221.00;FACT-001169
1;FACT-001192;15;200.00;0.00;0.00;0.00;0.00;23.90;4780.00;
1;FACT-001193;6;100.00;0.00;0.00;0.00;0.00;34.52;3452.00;
2;FACT-001193;15;100.00;0.00;0.00;0.00;0.00;23.90;2390.00;
3;FACT-001193;14;150.00;0.00;0.00;0.00;0.00;21.24;3186.00;
4;FACT-001193;5;30.00;0.00;0.00;0.00;0.00;47.79;1433.70;
5;FACT-001193;4;30.00;0.00;0.00;0.00;0.00;53.10;1593.00;
6;FACT-001193;12;300.00;0.00;0.00;0.00;0.00;6.90;2070.00;
1;FACT-001194;1;4.00;0.00;0.00;0.00;0.00;38.83;155.32;
2;FACT-001194;6;2.00;0.00;0.00;0.00;0.00;30.27;60.54;
3;FACT-001194;3;5.00;0.00;0.00;0.00;0.00;22.75;113.74;
1;FACT-001195;9;12.00;0.00;0.00;0.00;0.00;12.22;146.64;
2;FACT-001195;6;18.00;0.00;0.00;0.00;0.00;31.51;567.18;
3;FACT-001195;8;6.00;0.00;0.00;0.00;0.00;5.36;32.18;
1;FACT-001196;5;5.00;0.00;0.00;0.00;0.00;44.49;222.45;
2;FACT-001196;4;3.00;0.00;0.00;0.00;0.00;51.06;153.18;
3;FACT-001196;8;1.00;0.00;0.00;0.00;0.00;5.37;5.37;
1;ND-000064;17;1.00;0.00;0.00;0.00;0.00;1454.00;1454.00;FACT - 1084
1;FACT-001197;9;100.00;0.00;0.00;0.00;0.00;14.34;1434.00;
2;FACT-001197;11;200.00;0.00;0.00;0.00;0.00;11.68;2336.00;
3;FACT-001197;15;40.00;0.00;0.00;0.00;0.00;23.90;956.00;
4;FACT-001197;14;40.00;0.00;0.00;0.00;0.00;21.24;849.60;
5;FACT-001197;4;50.00;0.00;0.00;0.00;0.00;53.10;2655.00;
6;FACT-001197;3;100.00;0.00;0.00;0.00;0.00;22.30;2230.00;
1;FACT-001198;2;50.00;0.00;0.00;0.00;0.00;19.38;969.00;
2;FACT-001198;11;50.00;0.00;0.00;0.00;0.00;11.68;584.00;
3;FACT-001198;15;100.00;0.00;0.00;0.00;0.00;23.90;2390.00;
4;FACT-001198;3;20.00;0.00;0.00;0.00;0.00;22.30;446.00;
1;FACT-001199;9;100.00;0.00;0.00;0.00;0.00;14.34;1434.00;
2;FACT-001199;11;200.00;0.00;0.00;0.00;0.00;11.68;2336.00;
3;FACT-001199;15;40.00;0.00;0.00;0.00;0.00;23.90;956.00;
4;FACT-001199;4;50.00;0.00;0.00;0.00;0.00;53.10;2655.00;
5;FACT-001199;3;100.00;0.00;0.00;0.00;0.00;22.30;2230.00;
1;FACT-001200;24;4.00;0.00;0.00;0.00;0.00;50.00;200.00;
1;FACT-001201;2;50.00;0.00;0.00;0.00;0.00;19.56;978.00;
2;FACT-001201;11;120.00;0.00;0.00;0.00;0.00;11.79;1414.80;
3;FACT-001201;13;20.00;0.00;0.00;0.00;0.00;27.87;557.40;
1;FACT-001202;15;40.00;0.00;0.00;0.00;0.00;22.50;900.00;
1;FACT-001203;1;48.00;0.00;0.00;0.00;0.00;40.65;1951.20;
2;FACT-001203;2;48.00;0.00;0.00;0.00;0.00;19.78;949.44;
3;FACT-001203;9;12.00;0.00;0.00;0.00;0.00;14.63;175.56;
4;FACT-001203;11;48.00;0.00;0.00;0.00;0.00;11.92;572.16;
5;FACT-001203;13;12.00;0.00;0.00;0.00;0.00;28.18;338.16;
6;FACT-001203;15;48.00;0.00;0.00;0.00;0.00;24.39;1170.72;
7;FACT-001203;14;48.00;0.00;0.00;0.00;0.00;21.68;1040.64;
8;FACT-001203;12;48.00;0.00;0.00;0.00;0.00;7.05;338.40;
1;FACT-001204;16;20.00;0.00;0.00;0.00;0.00;21.68;433.60;
2;FACT-001204;9;50.00;0.00;0.00;0.00;0.00;14.63;731.50;
3;FACT-001204;11;200.00;0.00;0.00;0.00;0.00;11.92;2384.00;
4;FACT-001204;7;25.00;0.00;0.00;0.00;0.00;37.94;948.50;
5;FACT-001204;15;10.00;0.00;0.00;0.00;0.00;24.39;243.90;
6;FACT-001204;14;30.00;0.00;0.00;0.00;0.00;21.68;650.40;
7;FACT-001204;12;200.00;0.00;0.00;0.00;0.00;7.05;1410.00;
1;FACT-001205;9;9.00;0.00;0.00;0.00;0.00;20.00;180.00;
1;FACT-001206;9;9.00;0.00;0.00;0.00;0.00;20.00;180.00;
1;FACT-001207;16;14.00;0.00;0.00;0.00;0.00;21.88;306.32;
2;FACT-001207;1;10.00;0.00;0.00;0.00;0.00;41.03;410.30;
3;FACT-001207;2;30.00;0.00;0.00;0.00;0.00;19.97;599.10;
4;FACT-001207;6;40.00;0.00;0.00;0.00;0.00;35.56;1422.40;
5;FACT-001207;9;20.00;0.00;0.00;0.00;0.00;14.77;295.40;
6;FACT-001207;11;60.00;0.00;0.00;0.00;0.00;12.03;721.80;
7;FACT-001207;13;20.00;0.00;0.00;0.00;0.00;28.44;568.80;
8;FACT-001207;7;10.00;0.00;0.00;0.00;0.00;38.29;382.90;
9;FACT-001207;15;30.00;0.00;0.00;0.00;0.00;24.62;738.60;
10;FACT-001207;14;40.00;0.00;0.00;0.00;0.00;21.88;875.20;
11;FACT-001207;4;20.00;0.00;0.00;0.00;0.00;54.70;1094.00;
12;FACT-001207;12;20.00;0.00;0.00;0.00;0.00;7.11;142.20;
13;FACT-001207;3;20.00;0.00;0.00;0.00;0.00;22.97;459.40;
1;FACT-001208;11;100.00;0.00;0.00;0.00;0.00;12.03;1203.00;
2;FACT-001208;5;100.00;0.00;0.00;0.00;0.00;49.23;4923.00;
3;FACT-001208;4;100.00;0.00;0.00;0.00;0.00;54.70;5470.00;
4;FACT-001208;3;100.00;0.00;0.00;0.00;0.00;22.97;2297.00;
1;FACT-001209;2;50.00;0.00;0.00;0.00;0.00;19.97;998.50;
2;FACT-001209;9;20.00;0.00;0.00;0.00;0.00;14.77;295.40;
