FACT-043683|2025-01-06 14:14:13|1735|1735|7418.36|0.00|0.00|0.00|7418.36|FACT|01|01|N/A|2025-01-06 14:14:13|00-047539|501557934|411939188||Bs.|66.56|
FACT-043684|2025-01-06 14:15:22|76|76|4294.78|0.00|0.00|0.00|4294.78|FACT|01|01|N/A|2025-01-06 14:15:22|00-047540|313048810|411939188||Bs.|66.56|
FACT-043685|2025-01-06 16:19:46|1544|1544|6511.28|0.00|0.00|0.00|6511.28|FACT|01|01|N/A|2025-01-06 16:19:46|00-047541|405762250|411939188||Bs.|66.56|
FACT-043686|2025-01-06 16:22:38|476|476|5508.16|0.00|0.00|0.00|5508.16|FACT|01|01|N/A|2025-01-06 16:22:38|00-047542|400612900|411939188||Bs.|66.56|
FACT-043687|2025-01-06 16:24:53|795|795|14148.39|1510.22|9438.88|0.00|15658.61|FACT|01|01|N/A|2025-01-06 16:24:53|00-047543|412604155|411939188||Bs.|66.56|
FACT-043688|2025-01-07 08:51:40|2114|2114|7436.34|0.00|0.00|0.00|7436.34|FACT|01|01|N/A|2025-01-07 08:51:40|00-047544|408640554|411939188||Bs.|66.56|
FACT-043689|2025-01-07 08:58:24|2105|2105|5212.41|205.94|1287.12|0.00|5418.35|FACT|01|01|N/A|2025-01-07 08:58:24|00-047545|G200097434|411939188||Bs.|66.56|
FACT-043690|2025-01-07 08:59:49|1461|1461|4351.74|0.00|0.00|0.00|4351.74|FACT|01|01|N/A|2025-01-07 08:59:49|00-047546|412806912|411939188||Bs.|66.56|
FACT-043691|2025-01-07 09:01:28|1817|1817|18949.00|0.00|0.00|0.00|18949.00|FACT|01|01|N/A|2025-01-07 09:01:28|00-047547|501990034|411939188||Bs.|66.56|
FACT-043692|2025-01-07 09:01:30|1817|1817|8180.46|0.00|0.00|0.00|8180.46|FACT|01|01|N/A|2025-01-07 09:01:30|00-047548|501990034|411939188||Bs.|66.56|
FACT-043693|2025-01-07 10:09:44|2099|2099|10619.44|0.00|0.00|0.00|10619.44|FACT|01|01|N/A|2025-01-07 10:09:44|00-047549|505822608|411939188||Bs.|66.56|
FACT-043694|2025-01-07 10:10:43|1897|1897|819.29|0.00|0.00|0.00|819.29|FACT|01|01|N/A|2025-01-07 10:10:43|00-047550|500441193|411939188||Bs.|66.56|
FACT-043695|2025-01-07 10:12:07|1898|1898|614.16|0.00|0.00|0.00|614.16|FACT|01|01|N/A|2025-01-07 10:12:07|00-047551|501983410|411939188||Bs.|66.56|
FACT-043696|2025-01-08 09:00:21|562|562|2072.91|0.00|0.00|0.00|2072.91|FACT|01|01|N/A|2025-01-08 09:00:21|00-047552|304154291|411939188||Bs.|66.56|
FACT-043697|2025-01-08 09:02:37|2107|2107|6150.82|0.00|0.00|0.00|6150.82|FACT|01|01|N/A|2025-01-08 09:02:37|00-047553|G200097434.|411939188||Bs.|66.56|
FACT-043698|2025-01-08 09:03:46|1917|1917|12549.36|0.00|0.00|0.00|12549.36|FACT|01|01|N/A|2025-01-08 09:03:46|00-047554|501057664|411939188||Bs.|66.56|
FACT-043699|2025-01-08 09:04:57|552|552|17448.86|0.00|0.00|0.00|17448.86|FACT|01|01|N/A|2025-01-08 09:04:57|00-047555|075410734|411939188||Bs.|66.56|
FACT-043700|2025-01-08 09:06:46|1735|1735|2322.34|0.00|0.00|0.00|2322.34|FACT|01|01|N/A|2025-01-08 09:06:46|00-047556|501557934|411939188||Bs.|66.56|
FACT-043701|2025-01-08 09:07:48|58|58|2827.57|0.00|0.00|0.00|2827.57|FACT|01|01|N/A|2025-01-08 09:07:48|00-047557|000634890|411939188||Bs.|66.56|
FACT-043702|2025-01-08 09:09:04|2031|2031|23429.04|0.00|0.00|0.00|23429.04|FACT|01|01|N/A|2025-01-08 09:09:04|00-047558|504896322|411939188||Bs.|66.56|
FACT-043703|2025-01-08 09:09:06|2031|2031|15736.59|0.00|0.00|0.00|15736.59|FACT|01|01|N/A|2025-01-08 09:09:06|00-047559|504896322|411939188||Bs.|66.56|
FACT-043704|2025-01-08 09:27:00|1755|1755|12130.11|0.00|0.00|0.00|12130.11|FACT|01|01|N/A|2025-01-08 09:27:00|00-047560|503386916|411939188|CONSIGNACION 18/11/24 AL 01/12/2024|Bs.|66.56|
