1;1115;1000458838;806;96.00;0.00;0.00;3.50;336.0000
2;1115;1000458838;796;120.00;0.00;0.00;13.38;1605.6000
3;1115;1000458838;780;120.00;0.00;0.00;10.12;1214.4000
4;1115;1000458838;784;120.00;0.00;0.00;1.49;178.8000
5;1115;1000458838;804;96.00;0.00;0.00;10.92;1048.3200
6;1115;1000458838;1252;108.00;0.00;0.00;7.87;849.9600
7;1115;1000458838;1248;180.00;0.00;0.00;24.75;4455.0000
8;1115;1000458838;1256;120.00;0.00;0.00;6.78;813.6000
9;1115;1000458838;1251;100.00;0.00;0.00;22.88;2288.0000
10;1115;1000458838;1262;180.00;0.00;0.00;10.31;1855.8000
11;1115;1000458838;1260;96.00;0.00;0.00;4.12;395.5200
12;1115;1000458838;1264;96.00;0.00;0.00;5.91;567.3600
13;1115;1000458838;1261;96.00;0.00;0.00;1.83;175.6800
14;1115;1000458838;1259;96.00;0.00;0.00;5.69;546.2400
15;1115;1000458838;1258;96.00;0.00;0.00;3.96;380.1600
1;1116;1000458898;794;108.00;0.00;0.00;51.70;5583.6000
1;1117;1000458842;91;120.00;0.00;0.00;10.09;1210.8000
2;1117;1000458842;10;125.00;0.00;0.00;8.05;1006.2500
3;1117;1000458842;793;120.00;0.00;0.00;13.91;1669.2000
4;1117;1000458842;1249;120.00;0.00;0.00;3.08;369.6000
5;1117;1000458842;1254;120.00;0.00;0.00;3.08;369.6000
1;1118;1000458841;988;120.00;0.00;0.00;26.40;3168.0000
2;1118;1000458841;28;160.00;0.00;0.00;31.90;5104.0000
3;1118;1000458841;795;48.00;0.00;0.00;31.90;1531.2000
4;1118;1000458841;797;80.00;0.00;0.00;17.82;1425.6000
5;1118;1000458841;801;96.00;0.00;0.00;14.96;1436.1600
6;1118;1000458841;800;96.00;0.00;0.00;22.55;2164.8000
7;1118;1000458841;799;60.00;0.00;0.00;18.81;1128.6000
8;1118;1000458841;798;48.00;0.00;0.00;36.63;1758.2400
9;1118;1000458841;58;72.00;0.00;0.00;9.13;657.3600
10;1118;1000458841;149;120.00;0.00;0.00;10.34;1240.8000
11;1118;1000458841;1253;120.00;0.00;0.00;28.05;3366.0000
12;1118;1000458841;164;48.00;0.00;0.00;9.79;469.9200
1;1119;1045602;155;1440.00;0.00;0.00;18.18;26179.2000
1;1133;0000002063;1265;480.00;0.00;0.00;17.48;8390.4000
1;1134;1000458837;1263;96.00;0.00;0.00;1.85;177.6000
2;1134;1000458837;1257;96.00;0.00;0.00;2.60;249.6000
1;1135;7000165847;1247;120.00;0.00;0.00;15.95;1914.0000
1;1141;1184;196;120.00;16.00;26.17;189.74;22768.8000
1;1143;912116;330;768.00;0.00;0.00;19.29;14814.7200
2;1143;912116;332;96.00;0.00;0.00;15.50;1488.0000
